Loading clients from database...

All clients:
1. Name: Priya Kumar, Email: customer1@meghasmart.com, Flat: A1-101, Phone: 9800000001, Status: Active
2. Name: Arjun Kumar, Email: customer2@meghasmart.com, Flat: A1-102, Phone: 9800000002, Status: Active
3. Name: Sneha Kumar, Email: customer3@meghasmart.com, Flat: A1-103, Phone: 9800000003, Status: Active
4. Name: Vikram Kumar, Email: customer4@meghasmart.com, Flat: A1-104, Phone: 9800000004, Status: Inactive
5. Name: Anjali Kumar, Email: customer5@meghasmart.com, Flat: A1-105, Phone: 9800000005, Status: Active
6. Name: Rohan Kumar, Email: customer6@meghasmart.com, Flat: A1-201, Phone: 9800000006, Status: Active
7. Name: Divya Kumar, Email: customer7@meghasmart.com, Flat: A1-202, Phone: 9800000007, Status: Active
8. Name: Arun Kumar, Email: customer8@meghasmart.com, Flat: A1-203, Phone: 9800000008, Status: Active
9. Name: Pooja Kumar, Email: customer9@meghasmart.com, Flat: A1-204, Phone: 9800000009, Status: Active
10. Name: Rajesh Singh, Email: customer10@meghasmart.com, Flat: A1-205, Phone: 9800000010, Status: Active
11. Name: Priya Singh, Email: customer11@meghasmart.com, Flat: A1-301, Phone: 9800000011, Status: Active
12. Name: Arjun Singh, Email: customer12@meghasmart.com, Flat: A1-302, Phone: 9800000012, Status: Active
13. Name: Sneha Singh, Email: customer13@meghasmart.com, Flat: A1-303, Phone: 9800000013, Status: Active
14. Name: Vikram Singh, Email: customer14@meghasmart.com, Flat: A1-304, Phone: 9800000014, Status: Active
15. Name: Anjali Singh, Email: customer15@meghasmart.com, Flat: A1-305, Phone: 9800000015, Status: Active
16. Name: Rohan Singh, Email: customer16@meghasmart.com, Flat: A1-401, Phone: 9800000016, Status: Active
17. Name: Divya Singh, Email: customer17@meghasmart.com, Flat: A1-402, Phone: 9800000017, Status: Active
18. Name: Arun Singh, Email: customer18@meghasmart.com, Flat: A1-403, Phone: 9800000018, Status: Active
19. Name: Pooja Singh, Email: customer19@meghasmart.com, Flat: A1-404, Phone: 9800000019, Status: Active
20. Name: Rajesh Patel, Email: customer20@meghasmart.com, Flat: A1-405, Phone: 9800000020, Status: Active
21. Name: Priya Patel, Email: customer21@meghasmart.com, Flat: A1-501, Phone: 9800000021, Status: Active
